OjoIzquierdo,OjoDerecho,ObjetoEnfocado,PosicionObjeto,Timestamp
"(0.461, 0.365, 0.000)","(0.439, 0.329, 0.000)",Enfocado,"(-3.71, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5319
"(0.463, 0.364, 0.000)","(0.441, 0.329, 0.000)",Enfocado,"(-3.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5457
"(0.464, 0.363, 0.000)","(0.443, 0.328, 0.000)",Enfocado,"(-3.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5603
"(0.465, 0.360, 0.000)","(0.446, 0.328, 0.000)",Enfocado,"(-3.60, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5743
"(0.464, 0.362, 0.000)","(0.443, 0.327, 0.000)",Enfocado,"(-3.56, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5881
"(0.464, 0.362, 0.000)","(0.443, 0.327, 0.000)",Enfocado,"(-3.52, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6017
"(0.459, 0.373, 0.000)","(0.431, 0.338, 0.000)",Enfocado,"(-3.48, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6159
"(0.459, 0.376, 0.000)","(0.432, 0.343, 0.000)",Enfocado,"(-3.45, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6301
"(0.460, 0.376, 0.000)","(0.438, 0.340, 0.000)",Enfocado,"(-3.40, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6437
"(0.461, 0.374, 0.000)","(0.441, 0.337, 0.000)",Enfocado,"(-3.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6579
"(0.463, 0.372, 0.000)","(0.440, 0.336, 0.000)",Enfocado,"(-3.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6719
"(0.465, 0.371, 0.000)","(0.442, 0.337, 0.000)",Enfocado,"(-3.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6855
"(0.465, 0.371, 0.000)","(0.442, 0.337, 0.000)",Enfocado,"(-3.23, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6993
"(0.466, 0.371, 0.000)","(0.443, 0.337, 0.000)",Enfocado,"(-3.20, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7131
"(0.466, 0.372, 0.000)","(0.444, 0.337, 0.000)",Enfocado,"(-3.16, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7274
"(0.466, 0.372, 0.000)","(0.446, 0.338, 0.000)",Enfocado,"(-3.12, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7410
"(0.467, 0.371, 0.000)","(0.447, 0.338, 0.000)",Enfocado,"(-3.07, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7552
"(0.466, 0.372, 0.000)","(0.448, 0.338, 0.000)",Enfocado,"(-3.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7687
"(0.466, 0.372, 0.000)","(0.448, 0.338, 0.000)",Enfocado,"(-2.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7824
"(0.467, 0.371, 0.000)","(0.448, 0.337, 0.000)",Enfocado,"(-2.95, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7969
"(0.468, 0.370, 0.000)","(0.450, 0.337, 0.000)",Enfocado,"(-2.90, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8110
"(0.468, 0.369, 0.000)","(0.450, 0.336, 0.000)",Enfocado,"(-2.86, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8247
"(0.469, 0.368, 0.000)","(0.451, 0.335, 0.000)",Enfocado,"(-2.82, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8389
"(0.471, 0.366, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.76, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8525
"(0.471, 0.366, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.72, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8663
"(0.471, 0.367, 0.000)","(0.452, 0.333, 0.000)",Enfocado,"(-2.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8801
"(0.471, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8946
"(0.470, 0.364, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.59, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9086
"(0.471, 0.364, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9221
"(0.472, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.50, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9364
"(0.472, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.45, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9502
"(0.472, 0.367, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.40, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9639
"(0.473, 0.368, 0.000)","(0.453, 0.336, 0.000)",Enfocado,"(-2.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9780
"(0.473, 0.371, 0.000)","(0.453, 0.338, 0.000)",Enfocado,"(-2.31, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9919
"(0.473, 0.371, 0.000)","(0.454, 0.339, 0.000)",Enfocado,"(-2.27, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0057
"(0.475, 0.372, 0.000)","(0.455, 0.341, 0.000)",Enfocado,"(-2.21, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0194
"(0.475, 0.372, 0.000)","(0.455, 0.341, 0.000)",Enfocado,"(-2.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0332
"(0.475, 0.372, 0.000)","(0.457, 0.340, 0.000)",Enfocado,"(-2.13, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0474
"(0.475, 0.373, 0.000)","(0.456, 0.341, 0.000)",Enfocado,"(-2.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0611
"(0.477, 0.373, 0.000)","(0.457, 0.341, 0.000)",Enfocado,"(-2.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0754
"(0.477, 0.370, 0.000)","(0.458, 0.339, 0.000)",Enfocado,"(-1.98, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0892
"(0.478, 0.366, 0.000)","(0.458, 0.335, 0.000)",Enfocado,"(-1.93, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1030
"(0.478, 0.366, 0.000)","(0.458, 0.335, 0.000)",Enfocado,"(-1.88, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1168
"(0.479, 0.361, 0.000)","(0.459, 0.330, 0.000)",Enfocado,"(-1.83, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1309
